Image,PSNR,SSIM
1,28.435536880894844,0.8219831633213839
2,26.95176886839631,0.7840327581310034
3,28.907100755075355,0.8368142621185122
4,27.46237127166067,0.7967221960720607
5,29.911013862923788,0.8158478515968978
6,27.539364996515655,0.7971365768296838
7,28.333503328679672,0.8210033449292129
8,28.50041213962828,0.8028793731373864
9,27.306884539661503,0.7836384674627944
10,26.78922267675278,0.8019196326796254
11,23.298217532059752,0.7868853048189105
12,27.610806646459483,0.806783929037181
13,29.049345318891838,0.8473414731142027
14,28.350673964446756,0.8178572361047763
15,28.090943642004508,0.7820884374705726
16,27.057552487927552,0.7665516096271154
17,28.531992537380333,0.808155186083289
18,29.8092149738196,0.8629197987447695
19,27.768413572323926,0.7954961585244752
20,28.573806100678986,0.8184501984757669
21,25.26504566513017,0.7397696346075512
22,27.660350198573298,0.8046915533767826
23,29.33674985951012,0.8663116144085351
24,28.557941397246974,0.8188417971838825
25,29.04408275556214,0.8334668886592854
26,28.155836120881773,0.8022705789703852
27,28.105091043722503,0.8119672608316344
28,27.758984276105096,0.8289894129372654
29,27.673503002075122,0.8071274492016312
30,28.30692024931149,0.8078149402406766
31,26.593917321876823,0.7713111193469148
32,29.87519374005753,0.844809200096109
33,25.890123800346217,0.771686675984896
34,28.284838096631656,0.802168425991657
35,28.815514890856537,0.7456191617121005
36,28.69876441013874,0.8296061058846252
37,28.07878911641131,0.8135794024903797
38,28.2752225838382,0.8120823743739237
39,28.292092922502338,0.8293847177802075
40,28.48861575660562,0.8182217527004948
41,28.186029502185683,0.7911376598953391
42,27.044021977279165,0.789039366526967
43,27.796312008559653,0.7801268986678704
44,27.507646405911267,0.7822498996500457
45,26.50863703398352,0.8515151485970184
46,30.21357048993576,0.8816707402400268
47,29.70668599321183,0.854848160699636
48,27.23016877038922,0.8160391249145454
49,28.69288901862252,0.8350590225434479
50,22.86472256113668,0.7871752862120868
51,34.6533897024044,0.9107657531350619
52,30.979510952200158,0.871035704508523
53,26.76660057431702,0.8414394501623786
54,33.16354024981662,0.8654722657803254
55,29.793248216555455,0.8661547990420428
56,30.437046245661705,0.8411806167436762
57,32.85583059736462,0.919265905835469
58,30.395812718750044,0.838808761680962
59,30.54497982033932,0.853744788966458
60,29.199769096110472,0.8402319751059742
61,28.915428671290456,0.8403631827237371
62,29.505079692267124,0.8260652122624426
63,33.3564848758635,0.908928968005136
64,33.119433433290666,0.8959087710341826
65,29.607028828730265,0.8841742929599866
66,32.246876066635835,0.8825995088359382
67,29.044546340266034,0.8382746275327162
68,27.4625968668863,0.8625146621917869
69,30.415256283022494,0.8126248681789403
70,27.51160139865082,0.8083891133424598
71,28.799186106384273,0.8766520864945673
72,29.788110964545773,0.8836149281628753
73,31.460589042876443,0.8866985029539068
74,32.31191772958771,0.8899755888623773
75,27.223591699463363,0.8107741637225833
76,29.621492128221174,0.8688009561097634
77,29.594479061871965,0.8559658331654065
78,31.36029201740957,0.8872049615558318
79,29.63151983375976,0.8583122665794982
80,29.30889667079378,0.8737678003101763
81,31.979238117020085,0.8952712239649198
82,29.039741988238255,0.794109136298178
83,30.233371932049696,0.8877521772469205
84,32.01889486546171,0.8776312316622826
85,31.3195274077391,0.8813357417476739
86,27.511324461912523,0.7914019045566352
87,30.75136266328589,0.8061000551641299
88,32.40908791778868,0.8991942884777463
89,28.106006640857704,0.881598669171971
90,28.747650834050305,0.8047261763003102
91,26.065671602650507,0.8605453271072113
92,27.059836026727297,0.8514010480200858
93,30.224237757494667,0.8585351582380903
94,27.610955616095552,0.7945709143478515
95,29.755956994565654,0.8493601241440183
96,30.064382439582435,0.8261897167191659
97,30.1163396380283,0.8755987375097724
98,26.838246639079216,0.832658489944818
99,27.924523782003927,0.7769547787265568
100,26.500836008957375,0.7686632008707224
